コード,会社名
1,吉川食品
2,矢野食品
3,まるほ食品
4,森永牛乳
5,とかち製菓
6,モチクリーム
8,白扇商事
9,彦一本舗
10,タヌマ
11,都食品
12,西谷堂
13,花月
14,まるぶん
15,都製餡
16,オハラ
17,山久
19,杉谷本舗
20,ヌベール
21,ハートリー
22,精華堂
24,宮下製氷冷蔵
26,Lisse
27,ユーロインターナショナル
28,巴屋
30,上野忠
31,きよせ
32,いけがみ
34,五洋食品
36,吉開産業
38,テクモア
39,川西製餡
40,コウヤマ
42,Hayanaru
43,ばんびーの
44,城北麺工
45,高橋商店
46,新潟森林
47,味路庵
48,バスコフーズ
49,IBAO株式会社
50,ARAN
51,サザエフーズ
52,正木牧場
53,丸成商事㈱
54,ASOジャパン
55,港製菓
57,セブンズ
58,レックス・ベリー
59,茶茶
60,デイブレイク
61,アンジュ・ド・バージュ
62,横濱スコーンクラブ
63,丸菱関東販売
64,クアパパ
65,末廣軒
66,りあん
67,ナカノフード
68,三井農林
70,株式会社前田商店
71,株式会社イズム
72,菊一あられ株式会社
73,株式会社デリコジャパン
74,ばいこう堂
76,土肥製菓
77,徳永製菓
78,日親製菓
79,協同組合群馬炊飯センター
80,ハニー
81,KIYORA
82,正氣屋
83,関製菓本舗
84,みつい食品
86,株式会社 末広
87,株式会社若山商店
88,株式会社ワタトー
89,日米珈琲
90,合同食品株式会社
91,株式会社ルーツ
92,竹沢製茶株式会社
93,グローバル・ビジョン株式会社
94,株式会社 ブルーオーシャン
96,テラモト
97,i ・ライフソリューションズ
98,リキ・コーポレーション
99,味想百盛
100,泉州屋
102,若林煎餅
103,ホワイエ
104,出雲ファーム
105,水上食品
106,リノン
107,北條製餡
108,札幌第一製菓
109,日本食品安全研究所
110,いろは堂
111,シンコー食産
112,グランプラス
113,リノ
114,郡山製餡
115,コーセン
116,都食品
117,ストラク
118,田頭茶店
119,ルコラ
120,フジナチュラルフーズ
121,小岩井農牧
122,文の助茶屋
123,中野製菓
124,ベイクド・アルル
125,八雲製菓
126,アサヒ物産
127,七洋製作所
128,Deatsフード
129,國和産業
130,いなみの里梅園
131,城川ファクトリー
132,ふじや
133,児玉冷菓
134,茜丸
135,岩崎
136,HTS Planning
137,ヤマサキ農場
138,株式会社アンデ
139,イシカワ
140,和田又
141,東京堂
142,フードテック
143,佃食品
144,JKコーポレーション
145,岡林農園
146,ほんま
147,Bright
149,川光
150,益野製菓
151,グランドグロウ
152,近藤養蜂場
153,ヤマク食品
154,古屋産業
155,小川の庄
156,ペーパークラフト
157,鈴木本店
158,美松製菓
159,松橋屋
160,アソシエ
161,幸希
162,フードインパクト
163,エイム
164,浪速製菓
165,絣屋
166,京阿月
167,トポスエンタープライズ
168,POPLAB
169,ZIPANGU-8
170,わらく堂
171,ル・カレン
172,四季舎
173,カムカンパニー
174,TEN－TWO
175,そら彩
176,梅月堂
177,すゞき製菓
178,アイケーフーズ
179,高千穂ムラたび
180,かしま自然農園
181,312
182,大洋
183,OKF
184,ジーエフシー
185,nonii
186,日本インスパイア
187,アイティケイ
188,山﨑商工
189,さぬき農園ぐらし
190,アークス
191,勤労食
192,ハタ鉱泉
193,ポタジェ
194,ジョウリュウ
195,トライ・インターナショナル
196,マーケットプレーン
197,南四国ファーム
198,伊藤農園
199,三黒製菓
200,アレルギーヘルスケア
201,柏屋製パン所
202,十勝大福本舗
203,シモジマ
204,T.Kトレーディング
205,大谷商会
206,サンダイ
207,J&A商事
208,コミヤンフーズ
209,トモス
210,開門
211,フードバリュークリエイション
212,SKWイーストアジア
213,ヤムチャ・フーズ・サプライ
214,マルイ物産
215,ベルディオ・ファクトリー
216,ウィンズ・アーク
217,スカイ
